内部ID	设备编号	资产编号	设备名称	设备型号	设备规格	设备类别	使用部门	安装地点	制造厂	出厂年月	出厂编号	图号	启用年月	立卡年月	abc分类	财务分类	原值	使用年限	年折旧率	净残值比例	特种设备属性	初始截止累计折旧	初始截止折旧日期	备注	制造国别	供货商	生产能力	功率(千瓦)	装机容量（台）	材质	安装及杂费	单价	重量(吨)	外型尺寸	设备类型	资产来源	技术水平	完好状态	复杂系数f机	复杂系数f电	主机编码	设备主次	设备属性	生产用途	标准名称	责任人	工艺位号
1	GJ0001	15071021100084	化验室转鼓房	砖混		工业生产用房	化验室	化验室	泸县建筑安装公司六盘水分公司	2008/7/1			2008/7/1	2008/7/1	C	房屋及建筑物	24500.00	20	4.75 	5.00 	建构筑物	2106.96	2011/12/31						35									1					device	1			
2	GJ0002	15071021100085	化验室	砖混		工业生产用房	化验室	化验室	泸县建筑安装公司六盘水分公司	2008/7/1			2008/7/1	2008/7/1	C	房屋及建筑物	102948.00	20	4.75 	5.00 	建构筑物	8853.48	2011/12/31						478									1					device	1			
3	GJ0003	15071021100086	场院燃料储备系统焦炭细碎室	框架		工业生产用房	烧结车间	烧结原料场	赛德公司	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	2210755.73	20	4.75 	5.00 	建构筑物	378709.7	2011/12/31						576									1					device	1			
4	GJ0004	15071021100087	值班室	砖混		工业生产用房	烧结车间	烧结原料场	赛德公司	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	107596.26	20	4.75 	5.00 	建构筑物	18431.59	2011/12/31						48									1					device	1			
5	GJ0005	15071021100088	东大门值班室	砖混		工业生产用房	烧结车间	烧结原料场	赛德公司	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	30055.07	20	4.75 	5.00 	建构筑物	5148.53	2011/12/31						8									1					device	1			
6	GJ0006	15071021100089	操作室	框架		工业生产用房	烧结车间	烧结原料场	赛德公司	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	12729.75	20	4.75 	5.00 	建构筑物	2180.65	2011/12/31						10									1					device	1			
7	GJ0007	15071021100090	洒水泵房	砖混		工业生产用房	烧结车间	烧结原料场	赛德公司	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	20184.93	20	4.75 	5.00 	建构筑物	3457.74	2011/12/31						16									1					device	1			
8	GJ0008	15071021100091	变压站	砖混		工业生产用房	烧结车间	烧结原料场	赛德公司	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	9581.94	20	4.75 	5.00 	建构筑物	1641.42	2011/12/31						6									1					device	1			
9	GJ0009	15071021100092	厕所	砖混		工业生产用房	烧结车间	烧结原料场	赛德公司	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	14265.16	20	4.75 	5.00 	建构筑物	2443.67	2011/12/31															1					device	1			
10	GJ0010	15071021100093	厕所	砖混		工业生产用房	烧结车间	烧结原料场	赛德公司	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	14265.16	20	4.75 	5.00 	建构筑物	2443.67	2011/12/31															1					device	1			
11	GJ0011	15071021100094	矿槽液压站	框架		工业生产用房	高炉车间	高炉矿槽	中冶京城	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	108914.12	20	4.75 	5.00 	建构筑物	18657.35	2011/12/31						79									1					device	1			
12	GJ0012	15071021100095	矿槽除尘风机房及电气室	框架		工业生产用房	高炉车间	高炉矿槽	中冶京城	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	408427.94	20	4.75 	5.00 	建构筑物	69965.04	2011/12/31						298									1					device	1			
13	GJ0013	15071021100096	热风炉液压站及电气室	框架		工业生产用房	高炉车间	高炉热风炉	中冶京城	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	278152.60	20	4.75 	5.00 	建构筑物	47648.45	2011/12/31						203									1					device	1			
14	GJ0014	15071021100097	水冲渣泵房	钢筋砼		工业生产用房	高炉车间	高炉	中冶京城	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	112811.75	20	4.75 	5.00 	建构筑物	19325.02	2011/12/31						82									1					device	1			
15	GJ0015	15071021100098	主控楼	钢筋砼框架		工业生产用房	高炉车间	高炉	中冶京城	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	1110413.46	20	4.75 	5.00 	建构筑物	190217.46	2011/12/31						809									1					device	1			
16	GJ0016	15071021100099	循环水泵房	钢筋砼框架		工业生产用房	高炉车间	高炉	中冶京城	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	3048541.95	20	4.75 	5.00 	建构筑物	522225.22	2011/12/31						1195									1					device	1			
17	GJ0017	15071021100100	鼓风机站	钢筋砼排架结构		工业生产用房	高炉车间	高炉风机房	中冶京城	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	1846681.67	20	4.75 	5.00 	建构筑物	316342.62	2011/12/31						1346									1					device	1			
18	GJ0018	15071021100101	铸铁机循环水泵站	钢筋砼		工业生产用房	高炉车间	高炉	中冶京城	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	69986.10	20	4.75 	5.00 	建构筑物	11988.85	2011/12/31						51									1					device	1			
19	GJ0019	15071021100102	铸铁机电气室	砖混		工业生产用房	高炉车间	高炉	中冶京城	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	104357.73	20	4.75 	5.00 	建构筑物	17876.82	2011/12/31						76									1					device	1			
20	GJ0020	15071021100103	浴室	砖混		工业生产用房	高炉车间	高炉	水城建安公司	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	558468.38	20	4.75 	5.00 	建构筑物	95667.46	2011/12/31						160									1					device	1			
21	GJ0021	15071021100104	厕所	砖混		工业生产用房	高炉车间	高炉	水城建安公司	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	53272.21	20	4.75 	5.00 	建构筑物	9125.7	2011/12/31						35									1					device	1			
22	GJ0022	15071021100105	休息室	砖混		工业生产用房	高炉车间	高炉	沪县建安公司	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	135830.06	20	4.75 	5.00 	建构筑物	23268.13	2011/12/31						119									1					device	1			
23	GJ0023	15071021100106	100吨汽车衡操作室	砖混		工业生产用房	高炉车间	高炉老炉前	中国有色十四冶	2008/9/28			2008/9/28	2008/9/28	C	房屋及建筑物	195746.00	20	4.75 	5.00 	建构筑物	33531.93	2011/12/31						137									1					device	1			
