内部ID	设备编号	资产编号	设备名称	设备型号	设备规格	设备类别	使用部门	安装地点	制造厂	出厂年月	出厂编号	图号	启用年月	立卡年月	abc分类	财务分类	原值	使用年限	年折旧率	净残值比例	特种设备属性	初始截止累计折旧	初始截止折旧日期	备注	制造国别	供货商	生产能力	功率(千瓦)	装机容量（台）	材质	安装及杂费	单价	重量(吨)	外型尺寸	设备类型	资产来源	技术水平	完好状态	复杂系数f机	复杂系数f电	主机编码	设备主次	设备属性	生产用途	标准名称	责任人	工艺位号
1	GJ00001	15071011199001	土地	土地		土地	机动物资部	厂区		1960/1/1			1960/1/1	1960/1/1	C	房屋及建筑物	49369320.16	20	4.75 	5.00 	土地		2011/8/30					430000.00 															asset	1			
2	GJ00002	15071011199002	土地	土地		土地	机动物资部	白腻文阁村		1998/8/1			1998/8/1	1998/8/1	C	房屋及建筑物	80779.84	20	4.75 	5.00 	土地		2011/8/30					2373.00 															asset	1			
3	GJ00003	15071021100012	污水站泵房	砖混结构		房屋	机动物资部	炉前	四川卢建四司	1994/12/1			1994/12/1	1994/12/1	C	房屋及建筑物	147613.55	20	4.75 	5.00 	建构筑物		2011/8/30					173.90 															asset	1			
4	GJ00004	15071021100015	修旧室	砖混结构		房屋	汽运队	车队	自制	1977/1/1			1977/1/1	1977/1/1	C	房屋及建筑物	10800.00	20	4.75 	5.00 	建构筑物		2011/8/30					144.54 															asset	1			
5	GJ00005	15071021100016	新门岗房	砖混结构		房屋	汽运队	车队	水钢附企四队	1991/1/1			1991/1/1	1991/1/1	C	房屋及建筑物	5025.00	20	4.75 	5.00 	建构筑物		2011/8/30					20.10 															asset	1			
6	GJ00006	15071021100017	老办公楼	砖混结构		房屋	汽运队	车队	自制	1977/1/1			1977/1/1	1977/1/1	C	房屋及建筑物	26880.00	20	4.75 	5.00 	建构筑物		2011/8/30					531.61 															asset	1			
7	GJ00007	15071021100018	车工房	砖混结构		房屋	汽运队	车队	自制	1977/1/1			1977/1/1	1977/1/1	C	房屋及建筑物	22880.00	20	4.75 	5.00 	建构筑物		2011/8/30					315.42 															asset	1			
8	GJ00008	15071021100019	零修房	砖木结构		房屋	汽运队	车队	自制	1977/1/1			1977/1/1	1977/1/1	C	房屋及建筑物	30400.00	20	4.75 	5.00 	建构筑物		2011/8/30					472.18 															asset	1			
9	GJ00009	15071021100020	三保房	砖木结构		房屋	汽运队	车队	自制	1966/1/1			1966/1/1	1966/1/1	C	房屋及建筑物	46080.00	20	4.75 	5.00 	建构筑物		2011/8/30					504.30 															asset	1			
10	GJ00010	15071021100021	新办公楼	砖混结构		房屋	汽运队	车队	自制	1985/1/1			1985/1/1	1985/1/1	C	房屋及建筑物	153860.00	20	4.75 	5.00 	建构筑物		2011/8/30					695.40 															asset	1			
11	GJ00011	15071021100022	2#机锅炉房	砖混结构		房屋	发电车间	发电车间	自制	1957/1/1			1957/1/1	1957/1/1	C	房屋及建筑物	102955.14	20	4.75 	5.00 	建构筑物		2011/8/30					395.91 															asset	1			
12	GJ00012	15071021100023	车间办公室	砖混结构		房屋	发电车间	发电车间	自制	1984/1/1			1984/1/1	1984/1/1	C	房屋及建筑物	36387.00	20	4.75 	5.00 	建构筑物		2011/8/30					237.60 															asset	1			
13	GJ00013	15071021100024	除氧室及泵房	砖混结构		房屋	发电车间	发电车间	自制	1960/1/1			1960/1/1	1960/1/1	C	房屋及建筑物	12000.00	20	4.75 	5.00 	建构筑物		2011/8/30					139.36 															asset	1			
14	GJ00014	15071021100025	软水站房	砖混结构		房屋	发电车间	发电车间	水钢修建部	1998/8/1			1998/8/1	1998/8/1	C	房屋及建筑物	275858.86	20	4.75 	5.00 	建构筑物		2011/8/30					196.34 															asset	1			
15	GJ00015	15071021100026	循环水泵房	砖混结构		房屋	发电车间	发电车间	水钢修建部	1998/8/1			1998/8/1	1998/8/1	C	房屋及建筑物	407245.49	20	4.75 	5.00 	建构筑物		2011/8/30					216.35 															asset	1			
16	GJ00016	15071021100027	干渣池厂房	砖混结构		房屋	发电车间	发电车间	水钢修建部	1998/8/1			1998/8/1	1998/8/1	C	房屋及建筑物	590785.58	20	4.75 	5.00 	建构筑物		2011/8/30					450.00 															asset	1			
17	GJ00017	15071021100028	循环泵房	钢混结构		房屋	发电车间	发电车间	水钢修建部	1998/8/1			1998/8/1	1998/8/1	C	房屋及建筑物	398346.27	20	4.75 	5.00 	建构筑物		2011/8/30					47.50 															asset	1			
18	GJ00018	15071021100029	侧所	砖混结构		房屋	发电车间	发电车间	四川泸县公司	1998/8/1			1998/8/1	1998/8/1	C	房屋及建筑物	23514.00	20	4.75 	5.00 	建构筑物		2011/8/30					19.04 															asset	1			
19	GJ00019	15071021100030	主控楼	框架结构		房屋	发电车间	发电车间	水钢修建部	1998/8/1			1998/8/1	1998/8/1	C	房屋及建筑物	713914.04	20	4.75 	5.00 	建构筑物		2011/8/30					524.93 															asset	1			
20	GJ00020	15071021100031	引风机房	砖混		房屋	发电车间	发电车间	四川泸县公司	1998/8/1			1998/8/1	1998/8/1	C	房屋及建筑物	61024.00	20	4.75 	5.00 	建构筑物		2011/8/30					26.89 															asset	1			
21	GJ00021	15071021100032	煤场厂房	钢混		房屋	发电车间	发电车间	四川泸县公司	1998/8/1			1998/8/1	1998/8/1	C	房屋及建筑物	617241.40	20	4.75 	5.00 	建构筑物		2011/8/30					648.00 															asset	1			
22	GJ00022	15071021100033	空压机房	砖混 		房屋	发电车间	发电车间	四川泸县公司	1998/8/1			1998/8/1	1998/8/1	C	房屋及建筑物	9314.00	20	4.75 	5.00 	建构筑物		2011/8/30					26.61 															asset	1			
23	GJ00023	15071021100034	发电主厂房	框架结构		房屋	发电车间	发电车间	水钢修建部	1998/8/1			1998/8/1	1998/8/1	C	房屋及建筑物	887558.18	20	4.75 	5.00 	建构筑物		2011/8/30					1610.00 															asset	1			
24	GJ00024	15071021100035	破碎筛分间房	框架结构		房屋	发电车间	发电车间	四川泸县公司	1998/8/1			1998/8/1	1998/8/1	C	房屋及建筑物	97562.41	20	4.75 	5.00 	建构筑物		2011/8/30					108.00 															asset	1			
25	GJ00025	15071021100036	4＃锅炉厂房	砖混		房屋	发电车间	4＃锅炉房	云南宣威共创实业有限公司	2004/1/1			2004/1/1	2004/1/1	C	房屋及建筑物	160561.00	20	4.75 	5.00 	建构筑物		2011/8/30					277.89 															asset	1			
26	GJ00026	15071021100052	铸造主厂房	排架		房屋	机动物资部	铸管厂	自制	1989/1/1			1989/1/1	1989/1/1	C	房屋及建筑物	3294083.03	20	4.75 	5.00 	建构筑物		2011/8/30					3788.00 															asset	1			
27	GJ00027	15071021100055	班组休息室	砖混		房屋	机动物资部	铸管厂	自制	1993/1/1			1993/1/1	1993/1/1	C	房屋及建筑物	58955.48	20	4.75 	5.00 	建构筑物		2011/8/30					137.50 															asset	1			
28	GJ00028	15071021100057	锻工房及老办公室	砖木结构		房屋	机动物资部	检修	自制	1977/1/1			1977/1/1	1977/1/1	C	房屋及建筑物	25000.00	20	4.75 	5.00 	建构筑物		2011/8/30					560.00 															asset	1			
29	GJ00029	15071021100058	检修新办室	砖木结构		房屋	机动物资部	检修	自制	1977/1/1			1977/1/1	1977/1/1	C	房屋及建筑物	35702.00	20	4.75 	5.00 	建构筑物		2011/8/30					178.51 															asset	1			
30	GJ00030	15071021100064	电信大楼	砖混结构		房屋	机动物资部	电信大楼	自制	1985/1/1			1985/1/1	1985/1/1	C	房屋及建筑物	209415.00	20	4.75 	5.00 	建构筑物		2011/8/30					512.90 															asset	1			
31	GJ00031	15071021100065	值班室	砖混结构		房屋	机动物资部	供应科	自制	1986/11/13			1986/11/13	1986/11/13	C	房屋及建筑物	7302.00	20	4.75 	5.00 	建构筑物		2011/8/30					48.65 															asset	1			
