内部ID	类别编码	类别名称	类别说明
0001	1	土地房屋及构筑物	
00010001	101	土地 	
000100010001	1011	生产用地	
0001000100010001	10111	工业生产用地	
0001000100010009	10119	其他生产用地	
000100010002	1012	交通邮电用地	
0001000100020001	10121	铁路交通用地	
0001000100020002	10122	公路交通用地	
0001000100020003	10123	水运交通用地	
0001000100020004	10124	民航交通用地	
0001000100020005	10125	邮电用地	
0001000100020009	10129	其他交通邮电用地	
000100010003	1013	办公及业务用地	
0001000100030001	10131	行政机关办公用地	
0001000100030002	10132	事业单位办公及业务用地	
0001000100030003	10133	社会团体办公及业务用地	
0001000100030009	10139	其他办公及业务用地	
000100010004	1014	市政公用设施用地	
0001000100040001	10141	供应设施用地	
0001000100040002	10142	环境卫生设施用地	
0001000100040003	10143	施工与维修设施用地	
0001000100040009	10149	其他市政公用设施用地	
000100010005	1015	生活及服务业用地	
0001000100050001	10151	居住用地	
0001000100050002	10152	公共服务设施用地	
0001000100050003	10153	社会福利用地	
0001000100050009	10159	其他生活及服务业用地	
000100010006	1016	科学研究用地	
0001000100060001	10161	科研试验基地	
0001000100060002	10162	农业试验田	
0001000100060003	10163	科学研究与设计用地	
0001000100060004	10164	实验室用地	
0001000100060005	10165	气象业务用地	
0001000100060009	10169	其他科学研究用地	
000100010007	1017	文教体育及医疗卫生用地	
0001000100070001	10171	文化娱乐用地	
0001000100070002	10172	体育用地	
0001000100070003	10173	教育用地	
0001000100070004	10174	医疗卫生用地	
0001000100070009	10179	其他文化体育教育医疗卫生用地	
000100010008	1018	特殊用地	
0001000100080001	10181	军事用地	
0001000100080002	10182	外事用地	
0001000100080003	10183	保安用地	
0001000100080004	10184	文物古迹用地	
0001000100080005	10185	宗教用地	
0001000100080009	10189	其他特殊用地	
000100010009	1019	其他用地	
0001000100090001	10191	仓储用地	
0001000100090003	10193	绿地	
0001000100090005	10195	广场	
0001000100090009	10199	其他未予分类的用地	
00010002	102	房屋	
000100020001	1021	生产用房	
0001000200010001	10211	工业生产用房	
0001000200010003	10213	农林水用房	
0001000200010009	10219	其他生产用房	
000100020002	1022	交通邮电用房	
0001000200020001	10221	铁路交通用房	
0001000200020002	10222	公路交通用房	
0001000200020003	10223	水运交通用房	
0001000200020004	10224	民航交通用房	
0001000200020005	10225	地铁用房	
0001000200020006	10226	邮政用房	
0001000200020007	10227	电信用房	
0001000200020009	10229	其他交通邮电用房	
000100020003	1023	办公用房	
0001000200030001	10231	行政单位办公用房	
0001000200030002	10232	社会团体办公用房	
0001000200030009	10239	其他办公用房	
000100020004	1024	科研气象用房	
0001000200040001	10241	科学研究和设计用房	
0001000200040002	10242	科学实验用房	
0001000200040003	10243	气象用房	
0001000200040004	10244	气象设施用房	
0001000200040005	10245	天文台用房	
0001000200040009	10249	其他科研气象用房	
000100020005	1025	文化教育用房	
0001000200050001	10251	文化用房	
0001000200050002	10252	教育用房	
000100020006	1026	医疗卫生体育用房	
0001000200060001	10261	医疗卫生用房	
0001000200060002	10262	体育用房	
000100020007	1027	特殊用房	
0001000200070001	10271	军事用房	
0001000200070002	10272	外事用房	
0001000200070003	10273	公共安全用房	
0001000200070004	10274	宗教用房	
0001000200070009	10279	其他特殊用房	
000100020008	1028	生活娱乐市政公共设施服务业用房	
0001000200080001	10281	居住用房	
0001000200080002	10282	娱乐用房	
0001000200080003	10283	市政公共设施用房	
0001000200080004	10284	商业及服务用房	
0001000200080005	10285	社会福利用房	
000100020009	1029	其他用房	
0001000200090001	10291	仓储用房	
0001000200090009	10299	其他类未予包括的用房	
00010003	103	构筑物	
000100030001	1031	池	
0001000300010001	10311	工业生产用池罐	
0001000300010002	10312	渔业农业用池	
0001000300010003	10313	沼气发生池	
0001000300010004	10314	水利用池	
0001000300010009	10319	其他池	
000100030002	1032	槽	
0001000300020001	10321	工业生产用槽	
0001000300020002	10322	农业用槽	
0001000300020009	10329	其他用槽	
000100030003	1033	塔烟卤	
0001000300030001	10331	工业用塔	
0001000300030002	10332	农业用塔	
0001000300030004	10334	广播电视用塔	
0001000300030005	10335	交通航空用塔	
0001000300030006	10336	气象水利及环保用塔	
0001000300030008	10338	烟囱	
0001000300030009	10339	其他塔和烟卤	
000100030004	1034	井坑	
0001000300040001	10341	井	
0001000300040002	10342	坑	
000100030005	1035	台站码头道路	
0001000300050001	10351	台站	
0001000300050002	10352	码头 	
0001000300050003	10353	道路	
000100030006	1036	沟洞廊	
0001000300060001	10361	沟	
0001000300060002	10362	洞	
0001000300060003	10363	廊	
0001000300060009	10369	其他沟洞廊	
000100030007	1037	桥梁架及坝堰水道	
0001000300070001	10371	桥梁架	
0001000300070002	10372	坝堰及水道	
0001000300070003	10373	闸	
0001000300070005	10375	水利管道	
0001000300070006	10376	市政管道	
0001000300070009	10379	其他桥梁架及坝堰水道	
000100030008	1038	库仓场斗	
0001000300080001	10381	库	
0001000300080002	10382	仓	
0001000300080003	10383	场	
0001000300080004	10384	斗	
0001000300080009	10389	其他仓场库斗	
0001000300090000	10390	其他构筑物	
0002	22	通用设备	
00020006	206	锅炉及原动机	
000200060001	2061	工业锅炉	
0002000600010001	20611	蒸汽锅炉	
0002000600010002	20612	热水锅炉	
0002000600010003	20613	余热锅炉	
0002000600010009	20619	其他工业锅炉	
000200060002	2062	生活锅炉	
0002000600020001	20621	取暖锅炉	
0002000600020002	20622	饮水锅炉	
0002000600020009	20629	其他生活锅炉	
000200060003	2063	汽轮机及蒸汽机	
0002000600030001	20631	工业汽轮机	
0002000600030003	20633	蒸汽机	
0002000600030009	20639	其他汽轮机及蒸汽机	
000200060004	2064	水轮机及水利作业机械	
0002000600040001	20641	水轮机	
0002000600040002	20642	水利作业机械	
0002000600040009	20649	其他水轮机和水利作业机械	
000200060005	2065	内燃机	
0002000600050001	20651	柴油机	
0002000600050002	20652	汽油机	
0002000600050003	20653	气体燃料内燃机	
0002000600050004	20654	锅驼机	
0002000600060000	20660	燃气轮机	
000200060008	2068	锅炉和原动机辅机	
0002000600080001	20681	锅炉辅机	
0002000600080002	20682	汽轮机辅机	
0002000600080003	20683	水轮机辅机	
0002000600080009	20689	其他锅炉和原动机辅机	
000200060009	2069	其他锅炉及原动机	
0002000600090001	20691	风力机	
0002000600090002	20692	潮汐原动机	
0002000600090003	20693	太阳能原动机	
0002000600090004	20694	地热能原动机	
00020007	207	金属加工设备	
000200070001	2071	金属切削机床	
0002000700010001	20711	车床	
0002000700010002	20712	钻床刨床和铣床	
0002000700010003	20713	磨床	
0002000700010004	20714	镗床拉床和插床	
0002000700010005	20715	齿轮螺纹加工机床	
0002000700010006	20716	金属锯床及刻线刻字机床	
0002000700010007	20717	超声波激光及电加工机床	
0002000700010008	20718	组合机床及柔性制造设备	
0002000700010009	20719	其他金属切削机床	
000200070002	2072	锻压机械设备	
0002000700020001	20721	机械压力机	
0002000700020002	20722	液压机	
0002000700020003	20723	自动锻压机	
0002000700020004	20724	锤	
0002000700020005	20725	锻机	
0002000700020006	20726	剪切机	
0002000700020007	20727	弯曲矫正机	
0002000700020009	20729	其他锻压设备	
000200070003	2073	铸造设备	
0002000700030001	20731	砂处理设备	
0002000700030002	20732	造型及制芯设备	
0002000700030003	20733	落砂设备	
0002000700030004	20734	清理设备	
0002000700030005	20735	金属成型铸造设备	
0002000700030006	20736	熔模设备	
0002000700030007	20737	炉料准备及熔炼浇铸设备	
0002000700030009	20739	其他铸造设备	
000200070004	2074	机械手和工业机器人	
0002000700040001	20741	机械手	
0002000700040002	20742	工业机器人	
0002000700040009	20749	其他机械手和工业机器人	
000200070005	2075	热处理设备	
0002000700050001	20751	感应热处理机床	
0002000700050009	20759	其他热处理设备	
000200070006	2076	金属切割和焊接设备	
0002000700060001	20761	电焊设备	
0002000700060002	20762	气焊设备	
0002000700060003	20763	铸焊设备	
0002000700060004	20764	钎焊设备	
0002000700060005	20765	压力焊机	
0002000700060006	20766	特种焊机	
0002000700060007	20767	切割设备	
000200070007	2077	工业窑炉	
0002000700070001	20771	熔铸炉	
0002000700070002	20772	加热炉	
0002000700070003	20773	热处理炉	
0002000700070004	20774	烘干炉　	
0002000700070009	20779	其他工业窑炉	
000200070009	2079	其他金属加工设备	
0002000700090001	20791	台式钻床	
0002000700090002	20792	砂轮机	
0002000700090003	20793	金属加工抛光机	
00020008	208	起重设备	
000200080001	2081	简易起重器械及电动葫芦	
0002000800010001	20811	简易起重器械	
0002000800010002	20812	起重用葫芦	
0002000800010009	20819	其他简易起重器械及电动葫芦	
000200080002	2082	桥式起重机	
0002000800020001	20821	电动单梁桥式起重机	
0002000800020002	20822	电动双梁桥式起重机	
0002000800020009	20829	其他桥式起重机	
000200080003	2083	门式起重机	
0002000800030001	20831	电动门式起重机	
0002000800030003	20833	半门式起重机	
0002000800030005	20835	门座式起重机	
0002000800030007	20837	装卸桥	
0002000800030009	20839	其他门式起重机	
000200080004	2084	轮胎汽车履带起重机	
0002000800040001	20841	轮胎式起重机	
0002000800040002	20842	汽车式起重机	
0002000800040003	20843	履带式起重机	
0002000800040009	20849	其他轮胎汽车履带起重机	
000200080005	2085	电梯自动扶梯和自动人行道	
0002000800050001	20851	电梯	
0002000800050002	20852	自动扶梯	
0002000800050003	20853	自动人行道	
0002000800050009	20859	其他电梯自动扶梯和自动人行道	
0002000800060000	20860	缆索起重机	
000200080007	2087	专业用起重机械	
0002000800070001	20871	建筑工程专业用起重机	
0002000800070002	20872	铁路轨道起重机	
0002000800070003	20873	浮式起重机及升船机	
0002000800070004	20874	港口门座式起重机	
0002000800070005	20875	冶金起重机	
0002000800070009	20879	其他专业用起重机	
0002000800090000	20890	其他起重机械	
00020009	209	输送设备　	
000200090001	2091	带式输送机械　	
0002000900010001	20911	普通胶带输送机	
0002000900010002	20912	钢绳芯股带输送机	
0002000900010003	20913	钢丝绳牵引带式输送机	
0002000900010004	20914	网带输送机	
0002000900010009	20919	其他带式输送机械　	
000200090002	2092	机械铲	
0002000900020001	20921	单向控制机械铲	
0002000900020002	20922	双向控制机械铲	
0002000900020009	20929	其他机械铲	
000200090003	2093	螺旋斗式输送机	
0002000900030001	20931	螺旋输送机	
0002000900030002	20932	斗式提升输送机	
0002000900030009	20939	其他螺旋斗式输送机	
000200090004	2094	刮板板式悬挂辊道输送机	
0002000900040001	20941	刮板输送机	
0002000900040002	20942	板式输送机	
0002000900040003	20943	悬挂式输送机	
0002000900040004	20944	辊道输送机	
0002000900040009	20949	其他刮板板式悬挂辊道输送机	
000200090005	2095	气力液力振动输送机械	
0002000900050001	20951	气力输送机	
0002000900050002	20952	液力输送机	
0002000900050003	20953	振动输送机	
0002000900050009	20959	其他气力液力振动输送机械	
000200090006	2096	架空索道输送设备	
0002000900060001	20961	货运架空索道设备	
0002000900060002	20962	客运架空索道	
0002000900060009	20969	其他架空索道输送设备	
000200090007	2097	机场输送机械	
0002000900070001	20971	旅客登机桥	
0002000900070002	20972	行李输送机械	
0002000900070003	20973	行李装卸机械	
0002000900070009	20979	其他机场输送机械	
000200090008	2098	集装箱及输送设备	
0002000900080001	20981	集装箱	
0002000900080002	20982	集装箱输送设备	
000200090009	2099	其他输送机械	
0002000900090001	20991	输送管道	
00020010	210	给料设备	
000200100001	2101	圆盘叶轮给料机	
0002001000010001	21011	圆盘给料机	
0002001000010004	21014	叶轮给料机	
0002001000010009	21019	其他圆盘叶轮给料机	
000200100002	2102	板式给料机	
0002001000020001	21021	重型板式给料机	
0002001000020002	21022	轻型板式给料机	
0002001000020003	21023	中型板式给料机	
0002001000020009	21029	其他板式给料机	
000200100003	2103	摆式带式耙式给料机	
0002001000030001	21031	摆式给料机	
0002001000030002	21032	带式给料机	
0002001000030003	21033	耙式给料机	
0002001000030009	21039	其他摆式带式耙式给料机	
0002001000040000	21040	螺旋给料机	
000200100005	2105	振动给料机	
0002001000050001	21051	电磁振动给料机	
0002001000050002	21052	弹簧振动给料机	
0002001000050003	21053	惯性振动给料机	
0002001000050009	21059	其他振动给料机	
0002001000060000	21060	搅拌给料机	
0002001000090000	21090	其他给料机械	
00020011	211	装卸设备	
000200110001	2111	堆取机械	
0002001100010001	21111	斗轮堆取料机	
0002001100010002	21112	滚轮堆取料机	
0002001100010003	21113	圆形堆取料机	
0002001100010004	21114	臂式堆取料机	
0002001100010009	21119	其他堆取机械	
000200110002	2112	装车船机	
0002001100020001	21121	装船机	
0002001100020002	21122	装车机	
000200110003	2113	卸车船机	
0002001100030001	21131	卸船机	
0002001100030002	21132	卸车机	
0002001100030009	21139	其他卸车船机	
000200110004	2114	翻车机	
0002001100040001	21141	转简式翻车机	
0002001100040002	21142	侧卸式翻车机	
0002001100040003	21143	端卸式翻车机	
0002001100040004	21144	复合式翻车机	
0002001100040009	21149	其他翻车机	
0002001100090000	21190	其他装卸机械	
00020012	212	泵	
000200120001	2121	离心泵	
0002001200010001	21211	单级多级离心泵	
0002001200010002	21212	高中低压锅炉给水泵	
0002001200010003	21213	潜没式泵	
0002001200010004	21214	耐腐蚀离心泵	
0002001200010005	21215	冷热用泵船舶用泵油田注水泵	
0002001200010006	21216	带悬浮颗粒的杂质泵	
0002001200010007	21217	屏蔽泵冷凝泵自吸泵	
0002001200010009	21219	其他离心泵	
000200120002	2122	轴流泵混流泵	
0002001200020001	21221	轴流泵	
0002001200020002	21222	混流泵	
000200120003	2123	旋流泵往复泵	
0002001200030001	21231	旋流泵	
0002001200030002	21232	往复泵	
0002001200030009	21239	其他旋流泵往复泵	
0002001200040000	21240	转子泵	
0002001200040001	21241	螺杆泵	
