资产编号,使用部门编号,使用部门名称,名称,规格,型号,资产类别,资产数量,入账日期,折旧年限,原值,已提折旧,净值
15071021100084,24,化验室,化验室转鼓房,砖混,,资产,1,2008/7/1,20,24500,2106.96,22393.04
15071021100085,24,化验室,化验室,砖混,,资产,1,2008/7/1,20,102948,8853.48,94094.52
15071021100086,12,烧结车间,场院燃料储备系统焦炭细碎室,框架,,资产,1,2008/9/28,20,2210755.73,378709.7,1832046.03
15071021100087,12,烧结车间,值班室,砖混,,资产,1,2008/9/28,20,107596.26,18431.59,89164.67
15071021100088,12,烧结车间,东大门值班室,砖混,,资产,1,2008/9/28,20,30055.07,5148.53,24906.54
15071021100089,12,烧结车间,操作室,框架,,资产,1,2008/9/28,20,12729.75,2180.65,10549.1
15071021100090,12,烧结车间,洒水泵房,砖混,,资产,1,2008/9/28,20,20184.93,3457.74,16727.19
15071021100091,12,烧结车间,变压站,砖混,,资产,1,2008/9/28,20,9581.94,1641.42,7940.52
15071021100092,12,烧结车间,厕所,砖混,,资产,1,2008/9/28,20,14265.16,2443.67,11821.49
15071021100093,12,烧结车间,厕所,砖混,,资产,1,2008/9/28,20,14265.16,2443.67,11821.49
15071021100094,11,高炉车间,矿槽液压站,框架,,资产,1,2008/9/28,20,108914.12,18657.35,90256.77
15071021100095,11,高炉车间,矿槽除尘风机房及电气室,框架,,资产,1,2008/9/28,20,408427.94,69965.04,338462.9
15071021100096,11,高炉车间,热风炉液压站及电气室,框架,,资产,1,2008/9/28,20,278152.6,47648.45,230504.15
15071021100097,11,高炉车间,水冲渣泵房,钢筋砼,,资产,1,2008/9/28,20,112811.75,19325.02,93486.73
15071021100098,11,高炉车间,主控楼,钢筋砼框架,,资产,1,2008/9/28,20,1110413.46,190217.46,920196
15071021100099,11,高炉车间,循环水泵房,钢筋砼框架,,资产,1,2008/9/28,20,3048541.95,522225.22,2526316.73
15071021100100,11,高炉车间,鼓风机站,钢筋砼排架结构,,资产,1,2008/9/28,20,1846681.67,316342.62,1530339.05
15071021100101,11,高炉车间,铸铁机循环水泵站,钢筋砼,,资产,1,2008/9/28,20,69986.1,11988.85,57997.25
15071021100102,11,高炉车间,铸铁机电气室,砖混,,资产,1,2008/9/28,20,104357.73,17876.82,86480.91
15071021100103,11,高炉车间,浴室,砖混,,资产,1,2008/9/28,20,558468.38,95667.46,462800.92
15071021100104,11,高炉车间,厕所,砖混,,资产,1,2008/9/28,20,53272.21,9125.7,44146.51
15071021100105,11,高炉车间,休息室,砖混,,资产,1,2008/9/28,20,135830.06,23268.13,112561.93
15071021100106,11,高炉车间,100吨汽车衡操作室,砖混,,资产,1,2008/9/28,20,195746,33531.93,162214.07
15071021100107,12,烧结车间,焦碳雨棚,轻钢,,资产,1,2008/9/28,20,483031.64,82744.9,400286.74
15071021100108,12,烧结车间,制氮及空压站,砖混,,资产,1,2008/9/28,20,1170657.38,200537.44,970119.94
15071021100109,12,烧结车间,烧结机配料室,框架,,资产,1,2008/9/28,20,3270024.2,560165.86,2709858.34
15071021100110,12,烧结车间,烧结机烧结室,框架,,资产,1,2008/9/28,20,9899326.39,1695787.04,8203539.35
15071021100111,12,烧结车间,烧结机成品筛分整粒室,框排架,,资产,1,2008/9/28,20,2006961.03,343799,1663162.03
15071021100112,12,烧结车间,烧结机烟气收尘室,框架,,资产,1,2008/9/28,20,2354376.68,403312.44,1951064.24
15071021100113,12,烧结车间,烧结机净循环及消防泵房,砖混,,资产,1,2008/9/28,20,252197.98,43202.34,208995.64
15071021100114,12,烧结车间,烧结机电气楼,框架,,资产,1,2008/9/28,20,5098188.54,873336.4,4224852.14
15071021100115,12,烧结车间,90M2男女更衣室,砖混,,资产,1,2008/9/28,20,192040.24,32897.12,159143.12
15071021100116,21,动力车间,泵房,砖混,,资产,1,2008/9/28,20,455449.72,78020.03,377429.69
15071021100117,21,动力车间,值班室,砖混,,资产,1,2008/9/28,20,127246.09,21797.67,105448.42
15071021100118,12,烧结车间,100吨汽车衡操作室,砖混,,资产,1,2011/11/25,20,195746,33531.93,162214.07
15071021100120,18,原料车间,100吨汽车衡操作室,砖混,,资产,1,2011/6/8,20,582000,0,582000
15071028101031,41,机动物资部,原工行小河分理处房屋,砖混结构,,资产,1,2005/6/1,20,111000,25530,85470
15071031101009,11,高炉车间,冷、热水池,钢筋砼,,资产,1,2008/9/28,20,2189555.36,375078.01,1814477.35
15071031101010,21,动力车间,高位水池,钢筋砼,,资产,1,2008/9/28,20,2451934.24,420024.37,2031909.87
15071031101011,21,动力车间,清水池(7m*4m),混凝土,,资产,1,2008/9/28,20,545331.43,93417.06,451914.37
15071031103001,12,烧结车间,化粪池,,,资产,1,2008/9/28,20,8725.38,1494.69,7230.69
15071031103002,12,烧结车间,化粪池,,,资产,1,2008/9/28,20,8725.38,1494.69,7230.69
15071031103003,21,动力车间,加药池,混凝土,,资产,1,2008/9/28,20,41493.98,7108.05,34385.93
15071031107001,21,动力车间,油池,,,资产,1,2008/9/28,20,26779.37,4587.39,22191.98
15071031110002,11,高炉车间,水冲渣池,钢筋砼,,资产,1,2008/9/28,20,4541370.28,777951.61,3763418.67
15071031110003,12,烧结车间,沉淀池,钢筋砼,,资产,1,2008/9/28,20,56374.22,9657.09,46717.13
15071031110004,21,动力车间,预沉池（10m*10m*8.8m),混凝土,,资产,1,2008/9/28,20,860688.67,147438.79,713249.88
15071031110005,12,烧结车间,沉淀池,砖混,,资产,1,2008/9/28,20,14950.37,2561.05,12389.32
15071031112002,14,发电车间,燃油罐,2200×6800(20M3),,资产,1,2009/9/27,20,55907.73,7787.65,48120.08
15071031199007,14,发电车间,冷却塔集水盘,框砼结构,,资产,1,2009/9/27,20,506858,63055.46,443802.54
15071031199008,14,发电车间,冷却塔,2000立方米／h,,资产,1,2009/9/28,20,436296.37,0,436296.37
15071031499001,12,烧结车间,吸水池,钢筋砼,,资产,1,2008/9/28,20,71677.91,12278.66,59399.25
15071032109001,12,烧结车间,燃料受料槽,钢筋混凝土,,资产,1,2008/9/28,20,1085993.37,186034.22,899959.15
15071032109002,12,烧结车间,汽车受料槽,钢结构,,资产,1,2008/9/28,20,4114826.89,704883.33,3409943.56
15071032112001,11,高炉车间,储矿槽、储矿（焦）槽,钢筋砼+钢结构,,资产,1,2008/9/28,20,5529187.28,947167.89,4582019.39
15071032199001,11,高炉车间,焦炭溜槽（及漏斗）,,,资产,1,2008/9/28,20,20961.1,3590.71,17370.39
15071032199002,11,高炉车间,焦炭溜槽（及漏斗）,,,资产,1,2008/9/28,20,20961.1,3590.71,17370.39
15071032199003,11,高炉车间,焦丁振动筛溜槽,,,资产,1,2008/9/28,20,74734.75,12802.31,61932.44
15071033199003,21,动力车间,钢结构独立避雷针,GJT-13,,资产,1,2008/9/28,20,26901.4,4608.3,22293.1
15071033199004,21,动力车间,钢结构独立避雷针,GJT-13,,资产,1,2008/9/28,20,26901.4,4608.3,22293.1
15071033199005,21,动力车间,钢结构独立避雷针,GJT-13,,资产,1,2008/9/28,20,26901.4,4608.3,22293.1
15071033199006,21,动力车间,钢结构独立避雷针,GJT-13,,资产,1,2008/9/28,20,26901.4,4608.3,22293.1
15071033602001,14,发电车间,锅炉烟气监测系统,钢架结构,,资产,1,2010/5/1,20,132500,6293.76,126206.24
15071033900001,11,高炉车间,热风炉除尘烟囱,砖砌,,资产,1,2008/9/28,20,396457.25,67914.43,328542.82
15071033900002,11,高炉车间,钢烟囱*2,钢结构,,资产,1,2008/9/28,20,72985.18,12502.6,60482.58
15071033900003,21,动力车间,循环水泵站冷却塔,钢筋砼+钢结构,,资产,1,2008/9/28,20,312784.9,53581.08,259203.82
